country,orgname,repname,watchers_count,forks,open_issues,size,52weeksactivity
Brazil,lexml,pdfa-helper,0,0,0,1332,0
Brazil,lexml,proxy-vole-lexml,0,2,0,311,0
Brazil,lexml,public-maven-parent,0,0,0,184,0
Brazil,lexml,silex-requisitos,0,0,0,3616,0
Brazil,lexml,wiki,1,0,0,116,0
Brazil,lexml,xloom,0,0,0,168,0
Brazil,pensandoodireito,anticorrupcao-tema,0,0,0,905,0
Brazil,pensandoodireito,blog-tema,1,6,0,653,0
Brazil,pensandoodireito,dadospessoais-tema,3,8,0,460,0
Brazil,pensandoodireito,debatepublico-tema,1,7,0,775,5
Brazil,pensandoodireito,marcocivil-tema,5,9,0,3908,0
Brazil,pensandoodireito,participacao-sitebase,9,12,36,42370,20
Brazil,pensandoodireito,participacao-tema,5,12,0,3791,108
Brazil,pensandoodireito,pensando-app,1,2,0,15735,0
Brazil,pensandoodireito,pensandoodireito-network-functions,1,5,0,95,0
Brazil,pensandoodireito,pensandoodireito-tema,3,11,1,44071,104
Brazil,pensandoodireito,sisdepen-forms,3,2,1,3254,0
Brazil,pensandoodireito,sislegis-ambiente,0,10,0,119,8
Brazil,pensandoodireito,sislegis-ambiente-centos,0,1,0,120,0
Brazil,pensandoodireito,sislegis-ambiente-fedora,0,2,1,276,0
Brazil,pensandoodireito,sislegis-ambiente-producao,1,2,0,162,0
Brazil,pensandoodireito,sislegis-ambiente-ubuntu,0,1,0,156,0
Brazil,pensandoodireito,sislegis-app,2,15,133,9368,0
Brazil,pensandoodireito,sislegis-app-frontend,3,11,4,14951,0
Brazil,pensandoodireito,sislegis-dotfiles,0,7,0,208,0
Brazil,pensandoodireito,sislegis-keycloak-theme,1,2,0,350,0
Brazil,pensandoodireito,sislegis-prototipo,0,3,0,42080,0
Brazil,pensandoodireito,sislegis-site,2,6,3,701,0
Brazil,pensandoodireito,sispenas,1,1,0,3886,0
Brazil,plonegovbr,beyondskins.ploneconf.site,2,0,0,1432,0
Brazil,plonegovbr,beyondskins.plonesymposium.site,4,2,0,197,0
Brazil,plonegovbr,bobtemplates.plonegovbr,0,0,1,1236,0
Brazil,plonegovbr,brasil.gov.agenda,0,2,14,455,25
Brazil,plonegovbr,brasil.gov.barra,4,9,7,548,18
Brazil,plonegovbr,brasil.gov.facetada,0,0,2,78,5
Brazil,plonegovbr,brasil.gov.paginadestaque,0,2,3,1463,4
Brazil,plonegovbr,brasil.gov.portal,17,17,42,8427,60
Brazil,plonegovbr,brasil.gov.portlets,0,1,1,588,25
Brazil,plonegovbr,brasil.gov.temas,9,21,8,9149,7
Brazil,plonegovbr,brasil.gov.tiles,0,6,14,984,46
Brazil,plonegovbr,brasil.gov.vcge,1,5,10,243,13
Brazil,plonegovbr,brasil.gov.vlibrasnews,0,0,2,141,45
Brazil,plonegovbr,collective.opendata,5,2,5,351,0
Brazil,plonegovbr,conference.core,2,0,0,108,0
Brazil,plonegovbr,conference.profile,2,0,0,116,0
Brazil,plonegovbr,conference.program,1,0,0,132,0
Brazil,plonegovbr,conference.registration,3,0,0,120,0
Brazil,plonegovbr,github-collective,2,0,0,96,0
Brazil,plonegovbr,paginadestaque.temas,0,0,0,1532,0
Brazil,plonegovbr,plonegovbr.github.com,7,4,0,205,0
Brazil,plonegovbr,plonegovbr.tema,5,1,0,464,0
Brazil,plonegovbr,plonesymposium.southamerica,2,0,0,132,0
Brazil,plonegovbr,portal.buildout,6,17,5,1641,54
Brazil,plonegovbr,portal.vagrant,0,1,0,124,0
Brazil,plonegovbr,portalpadrao.release,2,1,2,45,30
Brazil,pr-snas,consulta-publica-theme,1,1,4,183,0
Brazil,pr-snas,debateaberto,10,2,1,594,0
Brazil,pr-snas,documentacao,1,0,0,17148,0
Brazil,pr-snas,mapas-consociais,3,1,0,720,0
Brazil,pr-snas,mural-de-recados,3,0,0,1616,0
Brazil,pr-snas,noosfero-sgpr,1,1,22,75844,0
Brazil,pr-snas,nosmapas,1,0,0,156,0
Brazil,pr-snas,politica_compromisso_ps,2,2,1,69,0
Brazil,PrefeituraParnaiba,ipub,0,1,0,139,0
Brazil,PrefeituraParnaiba,recadastramento,0,0,0,124,0
Brazil,PrefeituraParnaiba,sistrans,0,0,0,0,0
Brazil,prefeiturasp,ckan-csv-mass-import,3,5,0,332,0
Brazil,prefeiturasp,dados-espaciais-json,2,2,0,177,0
Brazil,prefeiturasp,dicionario-de-dados,6,1,0,1780,0
Brazil,prefeiturasp,formulario-funcao-social,3,0,0,864,0
Brazil,prefeiturasp,gestaopress,3,0,0,2200,0
Brazil,prefeiturasp,gestaourbanasp,8,5,1,32387,0
Brazil,prefeiturasp,mapa-gestaourbanasp,4,2,0,820,0
Brazil,prefeiturasp,minuta-participativa,7,3,2,7345,0
Brazil,prefeiturasp,pedidorespondido,6,3,1,3069,6
Brazil,prefeiturasp,planeja-sampa,6,3,0,11412,0
Brazil,prefeiturasp,programa-de-metas-api,5,6,5,5641,0
Brazil,prefeiturasp,programa-de-metas-wp,18,4,2,12588,0
Brazil,PROCERGS,AppBase,0,0,0,760,0
Brazil,PROCERGS,AppExemplos,0,0,0,0,0
Brazil,PROCERGS,login-cidadao,34,29,36,54196,948
Brazil,PROCERGS,login-cidadao-badges-bundle,2,1,0,16,11
Brazil,PROCERGS,login-cidadao-badges-template,1,1,0,148,0
Brazil,PROCERGS,login-cidadao-docs,0,0,0,395,0
Brazil,PROCERGS,login-cidadao-igp-bundle,0,0,0,192,0
Brazil,PROCERGS,meurs-bundle,0,0,0,0,0
Brazil,PROCERGS,meurs-monitor-bundle,0,0,0,3,0
Brazil,PROCERGS,nfg-badges-bundle,0,0,0,8,0
Brazil,PROCERGS,notification-service,0,0,0,300,0
Brazil,PROCERGS,PRAndroidLib,0,0,0,496,0
Brazil,PROCERGS,rsmovel-android,1,2,0,716,0
Brazil,PROCERGS,rsmovel-ios,1,1,0,1533,0
Brazil,PROCERGS,sms-service,0,0,0,12,0
Brazil,PROCERGS,TabsNavigation,0,0,0,724,0
Brazil,PROCERGS,template-servicos-rsmovel,1,0,0,516,0
Brazil,PROCERGS,tos-bundle,2,1,0,42,0
Brazil,PROCERGS,vpr,3,2,5,20187,193
Brazil,prodest,AcessoCidadao,0,0,0,0,0
Brazil,prodest,api-ceturb,0,1,0,15,0
Brazil,prodest,api-cloud,0,1,0,18,0
Brazil,prodest,api-detran,1,1,0,29,0
Brazil,prodest,api-dio,0,1,0,12,0
Brazil,prodest,api-espm,0,1,0,20,0
Brazil,prodest,api-noticias,0,1,0,53,0
Brazil,prodest,api-sep,1,1,0,15,0
Brazil,prodest,api-servicos,0,1,0,16,0
Brazil,prodest,bombeiros-api,0,0,0,58,0
Brazil,prodest,ckan-docs,0,0,0,12,0
Brazil,prodest,ckanext-dadoses_theme,0,1,1,132,0
Brazil,prodest,contraocrime,0,2,0,16626,0
Brazil,prodest,dados.es.gov.br,0,0,2,14,0
Brazil,prodest,docker-ckan,1,1,0,19,0
Brazil,prodest,docker-ckan-datapusher,1,1,0,1,0
Brazil,prodest,docker-ckan-postgres,0,0,0,1,0
Brazil,prodest,docker-ckan-solr,0,0,0,0,0
Brazil,secom-tocantins,cache,0,0,0,104,0
Brazil,secom-tocantins,central3-client-php,2,0,0,6,0
Brazil,secom-tocantins,central3-site,2,2,0,87,0
Brazil,secultce,editais,0,0,0,147769,0
Brazil,secultce,Infra,0,0,1,14,0
Brazil,secultce,MapaCulturalDeFortaleza,0,0,3,14,0
Brazil,secultce,SCAC,0,0,0,1,0
Brazil,secultce,SCAM,0,0,0,0,0
Brazil,secultce,SCBC,0,0,0,0,0
Brazil,secultce,SCC,0,0,0,0,0
Brazil,secultce,SGA,0,0,0,0,0
Brazil,secultce,SIGP,0,0,0,0,0
Brazil,secultce,SNUM,0,0,0,0,0
Brazil,secultce,STRA,0,0,1,0,1
Brazil,secultce,votaculturaceara,0,0,1,0,0
Brazil,secultce,WebServiceVraptor,0,0,0,13,1
Brazil,SerraWeb,ProjetosSostenes,1,0,0,668,0
Brazil,SerraWeb,ProjetosWilliams,2,0,0,392,0
Brazil,tisorocaba,CertidaoNascimento,0,1,0,465,0
Brazil,tisorocaba,Habitasorte,1,0,0,9408,0
Brazil,tisorocaba,sorteio-nossa-casa,1,0,0,840,0
Brazil,tisorocaba,tisorocaba.github.io,0,0,0,108,0
Brazil,tisorocaba,uniten,0,0,0,30999,0
Brazil,tre-pa,demoiselle-query-filter,0,3,0,203,0
Brazil,wpgovbr,brasil.gov.temas,2,0,0,1964,0
Brazil,wpgovbr,portal.buildout,0,0,0,16124,0
Canada,AAFC-MBB,acceptor,0,0,1,196,0
Canada,AAFC-MBB,android-mock-ws,0,1,0,176,0
Canada,AAFC-MBB,android-real-ws,0,0,4,376,0
Canada,AAFC-MBB,annotation-scripts,0,0,0,125,0
Canada,AAFC-MBB,AODP_releases,2,1,0,353001,0
Canada,AAFC-MBB,biocluster-playbook,0,0,0,40,0
Canada,AAFC-MBB,blackbox-pipeline,0,0,0,108,0
Canada,AAFC-MBB,blastdb_dynamo,0,0,0,0,0
Canada,AAFC-MBB,blazegraph_extras,0,0,0,1,0
Canada,AAFC-MBB,bold2blast,0,0,0,9,0
Canada,AAFC-MBB,cookiemonster2,0,0,0,1,0
Canada,AAFC-MBB,crti-assembly-pipeline,0,1,0,548,0
